                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.63215,                 1.8654,                0.95145,                0.47825,                0.66805,                0.64024,                0.55862,                0.57071,                 1.1463,                0.88086,             0.00013852,             0.00013852,             0.00013852
                      2,                0.59001,                0.93113,                0.92601,                0.87092,                0.79803,                0.91084,                0.77806,                0.55101,                0.75518,                0.87252,             0.00026379,             0.00026379,             0.00026379
                      3,                0.58145,                0.77251,                0.91904,                0.83831,                 0.8987,                0.95846,                0.84061,                0.55531,                0.63018,                0.86975,             0.00037529,             0.00037529,             0.00037529
                      4,                0.56358,                0.67487,                0.91172,                0.91454,                0.93423,                0.97996,                0.86733,                0.55952,                0.48214,                0.86811,             0.00035508,             0.00035508,             0.00035508
                      5,                0.56188,                0.59941,                0.91052,                0.93479,                0.94936,                0.98237,                 0.8832,                0.53628,                0.47086,                0.85796,             0.00035508,             0.00035508,             0.00035508
                      6,                0.54892,                0.53719,                0.90666,                0.93543,                0.94168,                0.98712,                0.88688,                0.52359,                0.37701,                0.85583,             0.00033443,             0.00033443,             0.00033443
                      7,                0.53358,                0.48718,                 0.9001,                0.93273,                0.93243,                0.99039,                 0.8966,                0.53076,                0.38261,                0.85875,             0.00031379,             0.00031379,             0.00031379
                      8,                0.53164,                0.46377,                0.90195,                0.95338,                0.96577,                0.99235,                0.88719,                0.52849,                 0.3467,                0.85947,             0.00029315,             0.00029315,             0.00029315
                      9,                0.52507,                0.43601,                0.89866,                0.95617,                0.96959,                0.98924,                0.89497,                0.51401,                0.31986,                0.85005,             0.00027251,             0.00027251,             0.00027251
                     10,                0.51251,                0.41391,                0.89435,                0.95905,                0.98223,                 0.9937,                  0.898,                 0.5221,                0.31105,                0.85012,             0.00025187,             0.00025187,             0.00025187
                     11,                0.47005,                0.36268,                0.85725,                0.96158,                0.96748,                0.99104,                0.89441,                0.50367,                0.31811,                  0.844,             0.00023123,             0.00023123,             0.00023123
                     12,                0.46169,                0.33687,                0.85735,                 0.9747,                0.97687,                0.99396,                0.90552,                0.50437,                0.29328,                0.84626,             0.00021059,             0.00021059,             0.00021059
                     13,                0.45133,                0.31828,                0.85311,                0.97892,                0.99488,                0.99479,                 0.9076,                0.50417,                0.27821,                0.84558,             0.00018994,             0.00018994,             0.00018994
                     14,                0.44473,                0.30665,                 0.8469,                0.97792,                0.98442,                0.99481,                0.91148,                  0.496,                0.27759,                0.84372,              0.0001693,              0.0001693,              0.0001693
                     15,                0.43499,                0.28883,                0.84227,                 0.9781,                0.99367,                0.99207,                0.91315,                0.49114,                 0.2592,                0.83848,             0.00014866,             0.00014866,             0.00014866
                     16,                0.42998,                0.28102,                0.84144,                0.97497,                0.99755,                0.99423,                0.91633,                0.49083,                0.25197,                0.83907,             0.00012802,             0.00012802,             0.00012802
                     17,                0.42487,                0.26828,                0.83808,                0.98288,                0.99426,                0.99491,                0.91537,                0.48154,                0.24729,                 0.8352,             0.00010738,             0.00010738,             0.00010738
                     18,                0.41302,                 0.2581,                0.83579,                0.98908,                0.99139,                0.99486,                0.92174,                0.48572,                0.24396,                0.83979,             8.6736e-05,             8.6736e-05,             8.6736e-05
                     19,                0.40798,                0.25082,                0.83557,                0.98924,                0.99054,                0.99488,                0.92396,                0.47734,                0.23365,                 0.8358,             6.6095e-05,             6.6095e-05,             6.6095e-05
                     20,                0.39921,                0.24274,                0.82994,                0.98845,                0.99283,                0.99474,                0.92379,                0.47295,                0.23183,                0.83425,             4.5453e-05,             4.5453e-05,             4.5453e-05
