                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.65274,                 2.5795,                0.93523,                0.77507,                0.46786,                0.64076,                0.56397,                 0.5811,                 1.4352,                 0.8905,             0.00013807,             0.00013807,             0.00013807
                      2,                0.61472,                 1.2528,                0.90395,                0.86226,                0.78766,                0.88864,                0.79169,                0.55432,                0.91322,                0.88411,             0.00026335,             0.00026335,             0.00026335
                      3,                0.60365,                 1.0285,                0.89629,                0.88727,                0.90754,                0.95342,                0.84939,                0.55209,                0.77409,                0.87965,             0.00037488,             0.00037488,             0.00037488
                      4,                0.60761,                0.91755,                0.90004,                0.92974,                0.95692,                0.97148,                0.87195,                0.55433,                0.66312,                0.86877,             0.00035508,             0.00035508,             0.00035508
                      5,                0.58978,                0.83906,                0.89703,                0.92234,                0.90808,                 0.9681,                   0.86,                0.57317,                0.63197,                0.87942,             0.00035508,             0.00035508,             0.00035508
                      6,                 0.5844,                0.77076,                0.89144,                0.93696,                0.94348,                0.97096,                0.87772,                 0.5376,                0.54248,                0.86835,             0.00033443,             0.00033443,             0.00033443
                      7,                0.57361,                0.72678,                 0.8938,                0.93408,                0.96262,                0.97154,                0.87425,                0.52368,                0.48314,                0.86615,             0.00031379,             0.00031379,             0.00031379
                      8,                0.56843,                0.66555,                0.89209,                0.96733,                0.95672,                0.98154,                0.88761,                0.52634,                0.43394,                0.86346,             0.00029315,             0.00029315,             0.00029315
                      9,                0.55421,                0.62056,                0.88506,                0.96798,                0.97262,                0.98063,                0.88747,                0.52815,                0.41155,                0.86259,             0.00027251,             0.00027251,             0.00027251
                     10,                0.54906,                0.58891,                0.88391,                0.95454,                0.96557,                0.97995,                0.89502,                0.51967,                0.41348,                0.86292,             0.00025187,             0.00025187,             0.00025187
                     11,                0.51375,                0.55466,                0.85835,                0.97125,                0.97552,                0.98379,                 0.8963,                0.51313,                0.35939,                0.85543,             0.00023123,             0.00023123,             0.00023123
                     12,                0.50775,                0.51871,                0.85415,                0.96128,                0.97794,                0.97638,                0.88957,                0.52138,                0.36252,                0.86039,             0.00021059,             0.00021059,             0.00021059
                     13,                0.50299,                  0.491,                0.85432,                0.96633,                0.96679,                 0.9792,                0.89191,                0.50682,                0.34774,                0.85659,             0.00018994,             0.00018994,             0.00018994
                     14,                0.49703,                0.45368,                 0.8483,                0.97669,                0.98182,                0.97813,                0.89692,                0.49622,                0.33209,                0.85284,              0.0001693,              0.0001693,              0.0001693
                     15,                0.49206,                0.43658,                0.85178,                0.97798,                0.97894,                0.98041,                 0.9015,                0.50152,                0.31982,                0.85066,             0.00014866,             0.00014866,             0.00014866
                     16,                0.48557,                0.41363,                0.84828,                0.97693,                0.98551,                0.98082,                0.90318,                0.49475,                0.30998,                0.84849,             0.00012802,             0.00012802,             0.00012802
                     17,                0.47972,                0.39419,                0.84181,                0.97968,                0.97844,                0.98262,                0.90756,                0.48529,                 0.3012,                0.84591,             0.00010738,             0.00010738,             0.00010738
                     18,                 0.4713,                0.38306,                0.84008,                0.98361,                 0.9873,                0.98462,                0.90977,                 0.4867,                0.28988,                0.85075,             8.6736e-05,             8.6736e-05,             8.6736e-05
                     19,                0.46364,                0.36843,                0.84025,                0.98367,                0.98413,                0.98244,                0.90744,                0.48471,                0.27954,                0.84794,             6.6095e-05,             6.6095e-05,             6.6095e-05
                     20,                0.45974,                0.35708,                0.83714,                0.98441,                0.98629,                0.98381,                0.91044,                 0.4838,                0.27647,                0.84849,             4.5453e-05,             4.5453e-05,             4.5453e-05
